2018-11-18,2018-11-19,2018-11-20,2018-11-21,2018-11-22
DEER:Scheduled:703,DEER:Scheduled:681,DEER:Scheduled:625,DEER:Scheduled:483,DEER:Scheduled:659
DEER:Recordings:392,DEER:Recordings:626,DEER:Recordings:692,DEER:Recordings:771,DEER:Recordings:556
DEER:Recording Failure:0,DEER:Recording Failure:0,DEER:Recording Failure:0,DEER:Recording Failure:0,DEER:Recording Failure:2
DEER:Account with Recording:100,DEER:Account with Recording:143,DEER:Account with Recording:151,DEER:Account with Recording:164,DEER:Account with Recording:139
2018-11-18,2018-11-19,2018-11-20,2018-11-21,2018-11-22
DUKE:Scheduled:51,DUKE:Scheduled:35,DUKE:Scheduled:63,DUKE:Scheduled:32,DUKE:Scheduled:53
DUKE:Recordings:23,DUKE:Recordings:45,DUKE:Recordings:52,DUKE:Recordings:41,DUKE:Recordings:55
DUKE:Recording Failure:0,DUKE:Recording Failure:0,DUKE:Recording Failure:0,DUKE:Recording Failure:0,DUKE:Recording Failure:0
DUKE:Account with Recording:9,DUKE:Account with Recording:14,DUKE:Account with Recording:14,DUKE:Account with Recording:16,DUKE:Account with Recording:13
2018-11-18,2018-11-19,2018-11-20,2018-11-21,2018-11-22
MID:Scheduled:0,MID:Scheduled:2,MID:Scheduled:12,MID:Scheduled:2,MID:Scheduled:3
MID:Recordings:0,MID:Recordings:2,MID:Recordings:1,MID:Recordings:7,MID:Recordings:7
MID:Recording Failure:0,MID:Recording Failure:0,MID:Recording Failure:0,MID:Recording Failure:0,MID:Recording Failure:0
MID:Account with Recording:0,MID:Account with Recording:2,MID:Account with Recording:1,MID:Account with Recording:3,MID:Account with Recording:1
2018-11-18,2018-11-19,2018-11-20,2018-11-21,2018-11-22
OKC:Scheduled:45,OKC:Scheduled:46,OKC:Scheduled:66,OKC:Scheduled:39,OKC:Scheduled:34
OKC:Recordings:20,OKC:Recordings:33,OKC:Recordings:41,OKC:Recordings:86,OKC:Recordings:29
OKC:Recording Failure:0,OKC:Recording Failure:0,OKC:Recording Failure:1,OKC:Recording Failure:5,OKC:Recording Failure:3
OKC:Account with Recording:5,OKC:Account with Recording:8,OKC:Account with Recording:10,OKC:Account with Recording:12,OKC:Account with Recording:7
2018-11-18,2018-11-19,2018-11-20,2018-11-21,2018-11-22
RI:Scheduled:0,RI:Scheduled:0,RI:Scheduled:0,RI:Scheduled:0,RI:Scheduled:0
RI:Recordings:0,RI:Recordings:0,RI:Recordings:0,RI:Recordings:0,RI:Recordings:0
RI:Recording Failure:0,RI:Recording Failure:0,RI:Recording Failure:0,RI:Recording Failure:0,RI:Recording Failure:0
RI:Account with Recording:0,RI:Account with Recording:0,RI:Account with Recording:0,RI:Account with Recording:0,RI:Account with Recording:0
2018-11-18,2018-11-19,2018-11-20,2018-11-21,2018-11-22
SD:Scheduled:243,SD:Scheduled:254,SD:Scheduled:255,SD:Scheduled:193,SD:Scheduled:191
SD:Recordings:122,SD:Recordings:174,SD:Recordings:253,SD:Recordings:296,SD:Recordings:221
SD:Recording Failure:0,SD:Recording Failure:0,SD:Recording Failure:3,SD:Recording Failure:3,SD:Recording Failure:1
SD:Account with Recording:39,SD:Account with Recording:53,SD:Account with Recording:54,SD:Account with Recording:59,SD:Account with Recording:55
