,Description,2018-12-28,2018-12-29,2018-12-30,2018-12-31,2019-01-01,2019-01-02,2019-01-03
DEER,Scheduled,1168,1227,1614,1986,2134,2477,2914
DEER,Recordings,1134,1123,1170,1649,1762,1991,2369
DEER,RecordingFailure,0,0,0,0,2,0,0
DEER,AccountWithRecording,330,358,356,457,420,502,571
DUKE,Scheduled,75,87,116,132,175,145,234
DUKE,Recordings,99,86,71,108,113,128,203
DUKE,RecordingFailure,0,0,0,0,0,0,0
DUKE,AccountWithRecording,22,24,18,33,28,33,37
MID,Scheduled,32,48,54,29,41,47,82
MID,Recordings,39,31,42,46,37,38,70
MID,RecordingFailure,0,0,0,0,0,0,0
MID,AccountWithRecording,16,14,13,18,16,19,30
OKC,Scheduled,164,303,255,293,340,341,351
OKC,Recordings,215,191,212,242,300,264,302
OKC,RecordingFailure,1,1,0,0,0,0,0
OKC,AccountWithRecording,59,49,56,66,66,67,73
RI,Scheduled,59,103,162,208,152,204,196
RI,Recordings,58,67,112,132,129,137,180
RI,RecordingFailure,0,1,0,0,0,0,0
RI,AccountWithRecording,23,22,28,29,24,29,42
SD,Scheduled,389,505,781,693,912,949,1052
SD,Recordings,329,433,506,656,736,729,874
SD,RecordingFailure,1,0,2,14,2,0,0
SD,AccountWithRecording,134,157,160,195,175,197,241
