,Description,11/26/18,11/27/18
DEER,Scheduled,1080,968
DEER,Recordings,916,940
DEER,RecordingFailure,0,15
DEER,AccountWithRecording,190,205
,,,
DUKE,Scheduled,58,75
DUKE,Recordings,54,63
DUKE,RecordingFailure,0,0
DUKE,AccountWithRecording,14,14
,,,
MID,Scheduled,5,9
MID,Recordings,3,2
MID,RecordingFailure,0,0
MID,AccountWithRecording,2,2
,,,
OKC,Scheduled,98,53
OKC,Recordings,55,70
OKC,RecordingFailure,0,0
OKC,AccountWithRecording,11,16
,,,
RI,Scheduled,0,0
RI,Recordings,0,0
RI,RecordingFailure,0,0
RI,AccountWithRecording,0,0
,,,
SD,Scheduled,327,393
SD,Recordings,269,327
SD,RecordingFailure,0,2
SD,AccountWithRecording,72,69
