,Description,2018-11-22,2018-11-23,2018-11-24,2018-11-25,2018-11-26,2018-11-27,2018-11-28
DEER,Scheduled,382,355,816,780,962,852,975
DEER,Recordings,330,313,501,499,759,842,1019
DEER,RecordingFailure,0,0,0,0,0,0,0
DEER,AccountWithRecording,116,96,123,131,182,202,218
DUKE,Scheduled,43,20,49,60,57,52,77
DUKE,Recordings,37,28,45,26,48,61,54
DUKE,RecordingFailure,0,0,0,0,0,0,0
DUKE,AccountWithRecording,12,8,14,13,14,14,19
MID,Scheduled,2,10,1,5,3,9,1
MID,Recordings,7,2,6,8,1,2,7
MID,RecordingFailure,0,0,0,0,0,0,0
MID,AccountWithRecording,1,1,1,2,1,2,2
OKC,Scheduled,24,23,38,50,95,51,94
OKC,Recordings,26,29,17,27,54,69,84
OKC,RecordingFailure,3,0,0,0,0,0,0
OKC,AccountWithRecording,6,7,7,8,10,16,16
RI,Scheduled,0,0,0,0,0,0,8
RI,Recordings,0,0,0,0,0,0,3
RI,RecordingFailure,0,0,0,0,0,0,0
RI,AccountWithRecording,0,0,0,0,0,0,1
SD,Scheduled,121,99,187,245,302,356,441
SD,Recordings,130,104,128,126,217,291,382
SD,RecordingFailure,1,0,0,0,0,1,0
SD,AccountWithRecording,41,37,45,47,68,67,80
